transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Age
2017-06-30,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,36498.0,Female,29,Social Worker,Retail,Affluent Customer,N,Yes,2.0,0601 Stephen Place,2292,NSW,Australia,7,23.0
2017-09-10,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,35470.0,Female,29,Social Worker,Retail,Affluent Customer,N,Yes,2.0,0601 Stephen Place,2292,NSW,Australia,7,23.0
2017-02-16,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552.0,Female,29,Social Worker,Retail,Affluent Customer,N,Yes,2.0,0601 Stephen Place,2292,NSW,Australia,7,23.0
2017-10-16,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337.0,Female,29,Social Worker,Retail,Affluent Customer,N,Yes,2.0,0601 Stephen Place,2292,NSW,Australia,7,23.0
2017-04-01,1.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,Female,29,Social Worker,Retail,Affluent Customer,N,Yes,2.0,0601 Stephen Place,2292,NSW,Australia,7,23.0
2017-05-30,1.0,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,40670.0,Female,29,Social Worker,Retail,Affluent Customer,N,Yes,2.0,0601 Stephen Place,2292,NSW,Australia,7,23.0
2017-03-08,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031.0,Male,3,Web Designer II,Property,Affluent Customer,N,Yes,16.0,7174 Thackeray Point,2153,NSW,Australia,10,61.0
2017-12-05,1.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,33259.0,Male,3,Web Designer II,Property,Affluent Customer,N,Yes,16.0,7174 Thackeray Point,2153,NSW,Australia,10,61.0
2017-02-05,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,37539.0,Male,3,Web Designer II,Property,Affluent Customer,N,Yes,16.0,7174 Thackeray Point,2153,NSW,Australia,10,61.0
2017-11-05,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,39880.0,Male,3,Web Designer II,Property,Affluent Customer,N,Yes,16.0,7174 Thackeray Point,2153,NSW,Australia,10,61.0
2017-12-19,1.0,Cancelled,OHM Cycles,Standard,medium,medium,1636.9,44.71,33879.0,Male,3,Web Designer II,Property,Affluent Customer,N,Yes,16.0,7174 Thackeray Point,2153,NSW,Australia,10,61.0
2017-07-22,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888.0,Male,3,Web Designer II,Property,Affluent Customer,N,Yes,16.0,7174 Thackeray Point,2153,NSW,Australia,10,61.0
2017-04-04,0.0,Approved,Norco Bicycles,Road,medium,medium,543.39,407.54,34527.0,Male,3,Web Designer II,Property,Affluent Customer,N,Yes,16.0,7174 Thackeray Point,2153,NSW,Australia,10,61.0
2017-02-06,1.0,Approved,Solex,Standard,medium,medium,441.49,84.99,38991.0,Male,3,Web Designer II,Property,Affluent Customer,N,Yes,16.0,7174 Thackeray Point,2153,NSW,Australia,10,61.0
2017-04-21,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165.0,Male,56,Food Chemist,Health,Mass Customer,N,Yes,12.0,243 Mosinee Place,2155,NSW,Australia,10,42.0
2017-08-19,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879.0,Male,56,Food Chemist,Health,Mass Customer,N,Yes,12.0,243 Mosinee Place,2155,NSW,Australia,10,42.0
2017-02-15,1.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,35378.0,Male,56,Food Chemist,Health,Mass Customer,N,Yes,12.0,243 Mosinee Place,2155,NSW,Australia,10,42.0
2017-07-10,0.0,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,34527.0,Male,56,Food Chemist,Health,Mass Customer,N,Yes,12.0,243 Mosinee Place,2155,NSW,Australia,10,42.0
2017-05-29,0.0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,33259.0,Male,56,Food Chemist,Health,Mass Customer,N,Yes,12.0,243 Mosinee Place,2155,NSW,Australia,10,42.0
2017-07-15,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Female,67,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,975 Annamark Hill,4034,QLD,Australia,6,34.0
2017-05-13,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,Female,67,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,975 Annamark Hill,4034,QLD,Australia,6,34.0
2017-07-26,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,Female,67,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,975 Annamark Hill,4034,QLD,Australia,6,34.0
2017-07-06,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455.0,Female,67,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,975 Annamark Hill,4034,QLD,Australia,6,34.0
2017-07-24,0.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,Female,67,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,975 Annamark Hill,4034,QLD,Australia,6,34.0
2017-08-29,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991.0,Female,67,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,975 Annamark Hill,4034,QLD,Australia,6,34.0
2017-10-10,1.0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996.0,Female,67,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,975 Annamark Hill,4034,QLD,Australia,6,34.0
2017-11-07,1.0,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064.0,Female,67,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,975 Annamark Hill,4034,QLD,Australia,6,34.0
2017-04-10,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Female,67,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,975 Annamark Hill,4034,QLD,Australia,6,34.0
2017-05-22,1.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0,Female,67,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,975 Annamark Hill,4034,QLD,Australia,6,34.0
2017-05-20,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434.0,Female,67,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,975 Annamark Hill,4034,QLD,Australia,6,34.0
2017-08-10,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,33455.0,Male,97,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,3 School Place,4124,QLD,Australia,4,50.0
2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009.0,Male,97,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,3 School Place,4124,QLD,Australia,4,50.0
2017-04-22,0.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,38693.0,Male,97,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,3 School Place,4124,QLD,Australia,4,50.0
2017-02-13,0.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,39298.0,Male,97,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,3 School Place,4124,QLD,Australia,4,50.0
2017-04-07,1.0,Approved,Solex,Standard,low,medium,945.04,507.58,40618.0,Male,97,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,3 School Place,4124,QLD,Australia,4,50.0
2017-08-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216.0,Male,65,Product Engineer,Entertainment,Mass Customer,N,No,12.0,2558 Morningstar Center,4221,QLD,Australia,8,60.0
2017-01-13,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,Male,65,Product Engineer,Entertainment,Mass Customer,N,No,12.0,2558 Morningstar Center,4221,QLD,Australia,8,60.0
2017-11-27,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,Male,65,Product Engineer,Entertainment,Mass Customer,N,No,12.0,2558 Morningstar Center,4221,QLD,Australia,8,60.0
2017-03-23,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,Male,65,Product Engineer,Entertainment,Mass Customer,N,No,12.0,2558 Morningstar Center,4221,QLD,Australia,8,60.0
2017-12-16,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470.0,Male,65,Product Engineer,Entertainment,Mass Customer,N,No,12.0,2558 Morningstar Center,4221,QLD,Australia,8,60.0
2017-03-15,1.0,Approved,Solex,Road,medium,small,1703.52,1516.13,40649.0,Male,65,Product Engineer,Entertainment,Mass Customer,N,No,12.0,2558 Morningstar Center,4221,QLD,Australia,8,60.0
2017-10-11,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,Male,65,Product Engineer,Entertainment,Mass Customer,N,No,12.0,2558 Morningstar Center,4221,QLD,Australia,8,60.0
2017-12-29,1.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,Male,65,Product Engineer,Entertainment,Mass Customer,N,No,12.0,2558 Morningstar Center,4221,QLD,Australia,8,60.0
2017-10-14,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573.0,Male,65,Product Engineer,Entertainment,Mass Customer,N,No,12.0,2558 Morningstar Center,4221,QLD,Australia,8,60.0
2017-03-28,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,39880.0,Male,65,Product Engineer,Entertainment,Mass Customer,N,No,12.0,2558 Morningstar Center,4221,QLD,Australia,8,60.0
2017-01-17,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,Female,53,Social Worker,Retail,Mass Customer,N,No,16.0,366 International Way,2170,NSW,Australia,8,38.0
2017-08-31,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,37873.0,Female,53,Social Worker,Retail,Mass Customer,N,No,16.0,366 International Way,2170,NSW,Australia,8,38.0
2017-06-29,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,41345.0,Female,53,Social Worker,Retail,Mass Customer,N,No,16.0,366 International Way,2170,NSW,Australia,8,38.0
2017-11-16,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,Female,53,Social Worker,Retail,Mass Customer,N,No,16.0,366 International Way,2170,NSW,Australia,8,38.0
2017-07-02,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37659.0,Female,53,Social Worker,Retail,Mass Customer,N,No,16.0,366 International Way,2170,NSW,Australia,8,38.0
2017-01-15,1.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079.0,Female,53,Social Worker,Retail,Mass Customer,N,No,16.0,366 International Way,2170,NSW,Australia,8,38.0
2017-01-05,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172.0,Male,14,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,13392 Emmet Parkway,2171,NSW,Australia,9,42.0
2017-02-11,1.0,Approved,Solex,Standard,medium,large,1071.23,380.74,42404.0,Male,14,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,13392 Emmet Parkway,2171,NSW,Australia,9,42.0
2017-06-21,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,40779.0,Male,14,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,13392 Emmet Parkway,2171,NSW,Australia,9,42.0
2017-07-06,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367.0,Male,14,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,13392 Emmet Parkway,2171,NSW,Australia,9,42.0
2017-10-18,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,33364.0,Male,14,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,13392 Emmet Parkway,2171,NSW,Australia,9,42.0
2017-10-02,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,41533.0,Male,14,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,13392 Emmet Parkway,2171,NSW,Australia,9,42.0
2017-09-16,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,42710.0,Male,14,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,13392 Emmet Parkway,2171,NSW,Australia,9,42.0
2017-01-14,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,39915.0,Male,14,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,13392 Emmet Parkway,2171,NSW,Australia,9,42.0
2017-10-18,0.0,Approved,OHM Cycles,Standard,medium,medium,1227.34,770.89,34556.0,Male,14,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,13392 Emmet Parkway,2171,NSW,Australia,9,42.0
2017-03-16,1.0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,33549.0,Male,14,Sales Representative,Retail,Affluent Customer,N,Yes,7.0,13392 Emmet Parkway,2171,NSW,Australia,9,42.0
2017-02-26,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527.0,Male,73,Research Assistant II,Retail,Mass Customer,N,No,8.0,2 Eliot Lane,2155,NSW,Australia,11,67.0
2017-10-21,1.0,Cancelled,OHM Cycles,Standard,high,medium,1458.17,874.9,38750.0,Male,73,Research Assistant II,Retail,Mass Customer,N,No,8.0,2 Eliot Lane,2155,NSW,Australia,11,67.0
2017-01-24,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647.0,Male,73,Research Assistant II,Retail,Mass Customer,N,No,8.0,2 Eliot Lane,2155,NSW,Australia,11,67.0
2017-01-18,1.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784.0,Male,73,Research Assistant II,Retail,Mass Customer,N,No,8.0,2 Eliot Lane,2155,NSW,Australia,11,67.0
2017-02-15,0.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002.0,Male,73,Research Assistant II,Retail,Mass Customer,N,No,8.0,2 Eliot Lane,2155,NSW,Australia,11,67.0
2017-04-21,1.0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,39298.0,Male,73,Research Assistant II,Retail,Mass Customer,N,No,8.0,2 Eliot Lane,2155,NSW,Australia,11,67.0
2017-04-08,1.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838.0,Male,73,Research Assistant II,Retail,Mass Customer,N,No,8.0,2 Eliot Lane,2155,NSW,Australia,11,67.0
2017-06-14,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,Male,73,Research Assistant II,Retail,Mass Customer,N,No,8.0,2 Eliot Lane,2155,NSW,Australia,11,67.0
2017-02-08,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404.0,Male,73,Research Assistant II,Retail,Mass Customer,N,No,8.0,2 Eliot Lane,2155,NSW,Australia,11,67.0
2017-03-02,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,Male,73,Research Assistant II,Retail,Mass Customer,N,No,8.0,2 Eliot Lane,2155,NSW,Australia,11,67.0
2017-09-10,0.0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586.0,Male,31,Registered Nurse,Health,Mass Customer,N,No,13.0,6994 Hanson Place,2580,NSW,Australia,5,39.0
2017-07-04,1.0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,41009.0,Male,31,Registered Nurse,Health,Mass Customer,N,No,13.0,6994 Hanson Place,2580,NSW,Australia,5,39.0
2017-03-11,1.0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41701.0,Male,31,Registered Nurse,Health,Mass Customer,N,No,13.0,6994 Hanson Place,2580,NSW,Australia,5,39.0
2017-11-19,1.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337.0,Male,31,Registered Nurse,Health,Mass Customer,N,No,13.0,6994 Hanson Place,2580,NSW,Australia,5,39.0
2017-06-13,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339.0,Male,31,Registered Nurse,Health,Mass Customer,N,No,13.0,6994 Hanson Place,2580,NSW,Australia,5,39.0
2017-07-12,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206.0,Male,31,Registered Nurse,Health,Mass Customer,N,No,13.0,6994 Hanson Place,2580,NSW,Australia,5,39.0
2017-02-28,1.0,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707.0,Male,31,Registered Nurse,Health,Mass Customer,N,No,13.0,6994 Hanson Place,2580,NSW,Australia,5,39.0
2017-07-12,0.0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487.0,Male,31,Registered Nurse,Health,Mass Customer,N,No,13.0,6994 Hanson Place,2580,NSW,Australia,5,39.0
2017-11-16,0.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539.0,Male,31,Registered Nurse,Health,Mass Customer,N,No,13.0,6994 Hanson Place,2580,NSW,Australia,5,39.0
2017-01-07,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259.0,Male,31,Registered Nurse,Health,Mass Customer,N,No,13.0,6994 Hanson Place,2580,NSW,Australia,5,39.0
2017-06-11,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193.0,Female,62,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,2 2nd Plaza,2283,NSW,Australia,4,37.0
2017-09-09,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37659.0,Female,62,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,2 2nd Plaza,2283,NSW,Australia,4,37.0
2017-01-21,1.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668.0,Female,62,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,2 2nd Plaza,2283,NSW,Australia,4,37.0
2017-06-17,0.0,Approved,Solex,Standard,medium,medium,575.27,431.45,34115.0,Female,62,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,2 2nd Plaza,2283,NSW,Australia,4,37.0
2017-02-26,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,41922.0,Female,62,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,2 2nd Plaza,2283,NSW,Australia,4,37.0
2017-08-23,1.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,38002.0,Female,62,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,2 2nd Plaza,2283,NSW,Australia,4,37.0
2017-10-10,0.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873.0,Male,56,Assistant Manager,Health,Mass Customer,N,Yes,12.0,8 Roxbury Way,3031,VIC,Australia,8,45.0
2017-04-19,1.0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,40670.0,Male,56,Assistant Manager,Health,Mass Customer,N,Yes,12.0,8 Roxbury Way,3031,VIC,Australia,8,45.0
2017-12-28,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672.0,Male,56,Assistant Manager,Health,Mass Customer,N,Yes,12.0,8 Roxbury Way,3031,VIC,Australia,8,45.0
2017-11-01,0.0,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,40336.0,Male,56,Assistant Manager,Health,Mass Customer,N,Yes,12.0,8 Roxbury Way,3031,VIC,Australia,8,45.0
2017-08-15,1.0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,39298.0,Male,56,Assistant Manager,Health,Mass Customer,N,Yes,12.0,8 Roxbury Way,3031,VIC,Australia,8,45.0
2017-10-25,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,40410.0,Male,56,Assistant Manager,Health,Mass Customer,N,Yes,12.0,8 Roxbury Way,3031,VIC,Australia,8,45.0
2017-06-02,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888.0,Male,89,Accountant IV,Financial Services,Mass Customer,N,No,8.0,9649 Cascade Way,2250,NSW,Australia,8,43.0
2017-05-27,1.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295.0,Male,89,Accountant IV,Financial Services,Mass Customer,N,No,8.0,9649 Cascade Way,2250,NSW,Australia,8,43.0
2017-03-17,0.0,Approved,Solex,Standard,high,medium,748.17,448.9,33552.0,Male,89,Accountant IV,Financial Services,Mass Customer,N,No,8.0,9649 Cascade Way,2250,NSW,Australia,8,43.0
2017-05-03,0.0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,41848.0,Male,89,Accountant IV,Financial Services,Mass Customer,N,No,8.0,9649 Cascade Way,2250,NSW,Australia,8,43.0
2017-01-28,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145.0,Male,89,Accountant IV,Financial Services,Mass Customer,N,No,8.0,9649 Cascade Way,2250,NSW,Australia,8,43.0
2017-04-06,1.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915.0,Female,66,Pharmacist,Health,Mass Customer,N,No,19.0,9574 David Lane,3218,VIC,Australia,8,54.0
2017-11-25,1.0,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,36668.0,Female,66,Pharmacist,Health,Mass Customer,N,No,19.0,9574 David Lane,3218,VIC,Australia,8,54.0
2017-02-06,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,36498.0,Female,66,Pharmacist,Health,Mass Customer,N,No,19.0,9574 David Lane,3218,VIC,Australia,8,54.0
2017-07-02,0.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115.0,Female,66,Pharmacist,Health,Mass Customer,N,No,19.0,9574 David Lane,3218,VIC,Australia,8,54.0
2017-04-07,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,35455.0,Female,66,Pharmacist,Health,Mass Customer,N,No,19.0,9574 David Lane,3218,VIC,Australia,8,54.0
